id;number;date;office_assigned;description;location
1;Computer encompassing Tugrik;2022-11-07;XSS Licensed;Greenland architecture payment;Borders Rustic Gambia
2;Home back-end;2022-11-07;Skyway Car;bluetooth Berkshire channels;discrete
3;Brand orchid;2022-11-08;Towels Buckinghamshire Intelligent;bypassing;generate Lithuanian
4;Associate;2022-11-07;invoice withdrawal capacitor;matrix incubate Product;Cape SMS applications
5;Account;2022-11-08;Pants;Mali Public-key Movies;Senior
6;invoice e-services;2022-11-07;Concrete Liaison invoice;Rubber monetize Movies;Representative
7;violet open;2022-11-07;copy Rustic;XML Ball;grow Mongolia strategize
8;streamline;2022-11-08;invoice user-centric composite;world-class Cambridgeshire Ball;connecting
9;Frozen withdrawal Incredible;2022-11-07;next;Algerian Regional;Mall reboot viral
10;Home experiences;2022-11-07;Baby back Avon;Pants;Madagascar red mindshare
